Date,Start of the Month,Year,Quarter,Year-Quarter,Month,Month Name,Week of Year,Week of Month,Day Name,Day Type,Short Year,Mon-Year,Day,Day of week,Month day,Day of Year
2020-07-21 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,30,4,Tue,Weekday,20,Jul-20,21,2,Jul 21,203
2020-07-22 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,30,4,Wed,Weekday,20,Jul-20,22,3,Jul 22,204
2020-07-23 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,30,4,Thu,Weekday,20,Jul-20,23,4,Jul 23,205
2020-07-24 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,30,4,Fri,Weekday,20,Jul-20,24,5,Jul 24,206
2020-07-27 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,31,5,Mon,Weekday,20,Jul-20,27,1,Jul 27,209
2020-07-28 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,31,5,Tue,Weekday,20,Jul-20,28,2,Jul 28,210
2020-07-29 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,31,5,Wed,Weekday,20,Jul-20,29,3,Jul 29,211
2020-07-30 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,31,5,Thu,Weekday,20,Jul-20,30,4,Jul 30,212
2020-07-31 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,31,5,Fri,Weekday,20,Jul-20,31,5,Jul 31,213
2020-08-03 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,32,2,Mon,Weekday,20,Aug-20,3,1,Aug 3,216
2020-08-04 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,32,2,Tue,Weekday,20,Aug-20,4,2,Aug 4,217
2020-08-05 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,32,2,Wed,Weekday,20,Aug-20,5,3,Aug 5,218
2020-08-06 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,32,2,Thu,Weekday,20,Aug-20,6,4,Aug 6,219
2020-08-07 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,32,2,Fri,Weekday,20,Aug-20,7,5,Aug 7,220
2020-08-10 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,33,3,Mon,Weekday,20,Aug-20,10,1,Aug 10,223
2020-08-11 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,33,3,Tue,Weekday,20,Aug-20,11,2,Aug 11,224
2020-08-12 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,33,3,Wed,Weekday,20,Aug-20,12,3,Aug 12,225
2020-08-13 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,33,3,Thu,Weekday,20,Aug-20,13,4,Aug 13,226
2020-08-14 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,33,3,Fri,Weekday,20,Aug-20,14,5,Aug 14,227
2020-08-17 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,34,4,Mon,Weekday,20,Aug-20,17,1,Aug 17,230
2020-08-18 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,34,4,Tue,Weekday,20,Aug-20,18,2,Aug 18,231
2020-08-19 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,34,4,Wed,Weekday,20,Aug-20,19,3,Aug 19,232
2020-08-20 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,34,4,Thu,Weekday,20,Aug-20,20,4,Aug 20,233
2020-08-21 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,34,4,Fri,Weekday,20,Aug-20,21,5,Aug 21,234
2020-08-24 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,35,5,Mon,Weekday,20,Aug-20,24,1,Aug 24,237
2020-08-25 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,35,5,Tue,Weekday,20,Aug-20,25,2,Aug 25,238
2020-08-26 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,35,5,Wed,Weekday,20,Aug-20,26,3,Aug 26,239
2020-08-27 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,35,5,Thu,Weekday,20,Aug-20,27,4,Aug 27,240
2020-08-28 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,35,5,Fri,Weekday,20,Aug-20,28,5,Aug 28,241
2020-08-31 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,36,6,Mon,Weekday,20,Aug-20,31,1,Aug 31,244
2020-09-01 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,36,1,Tue,Weekday,20,Sep-20,1,2,Sep 1,245
2020-09-02 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,36,1,Wed,Weekday,20,Sep-20,2,3,Sep 2,246
2020-09-03 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,36,1,Thu,Weekday,20,Sep-20,3,4,Sep 3,247
2020-09-04 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,36,1,Fri,Weekday,20,Sep-20,4,5,Sep 4,248
2020-09-07 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,37,2,Mon,Weekday,20,Sep-20,7,1,Sep 7,251
2020-09-08 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,37,2,Tue,Weekday,20,Sep-20,8,2,Sep 8,252
2020-09-09 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,37,2,Wed,Weekday,20,Sep-20,9,3,Sep 9,253
2020-09-10 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,37,2,Thu,Weekday,20,Sep-20,10,4,Sep 10,254
2020-09-11 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,37,2,Fri,Weekday,20,Sep-20,11,5,Sep 11,255
2020-09-14 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,38,3,Mon,Weekday,20,Sep-20,14,1,Sep 14,258
2020-09-15 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,38,3,Tue,Weekday,20,Sep-20,15,2,Sep 15,259
2020-09-16 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,38,3,Wed,Weekday,20,Sep-20,16,3,Sep 16,260
2020-09-17 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,38,3,Thu,Weekday,20,Sep-20,17,4,Sep 17,261
2020-09-18 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,38,3,Fri,Weekday,20,Sep-20,18,5,Sep 18,262
2020-09-21 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,39,4,Mon,Weekday,20,Sep-20,21,1,Sep 21,265
2020-09-22 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,39,4,Tue,Weekday,20,Sep-20,22,2,Sep 22,266
2020-09-23 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,39,4,Wed,Weekday,20,Sep-20,23,3,Sep 23,267
2020-09-24 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,39,4,Thu,Weekday,20,Sep-20,24,4,Sep 24,268
2020-09-25 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,39,4,Fri,Weekday,20,Sep-20,25,5,Sep 25,269
2020-09-28 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,40,5,Mon,Weekday,20,Sep-20,28,1,Sep 28,272
2020-09-29 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,40,5,Tue,Weekday,20,Sep-20,29,2,Sep 29,273
2020-09-30 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,40,5,Wed,Weekday,20,Sep-20,30,3,Sep 30,274
2020-07-04 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,27,1,Sat,Weekend,20,Jul-20,4,6,Jul 4,186
2020-07-05 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,27,1,Sun,Weekend,20,Jul-20,5,7,Jul 5,187
2020-07-11 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,28,2,Sat,Weekend,20,Jul-20,11,6,Jul 11,193
2020-07-12 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,28,2,Sun,Weekend,20,Jul-20,12,7,Jul 12,194
2020-07-18 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,29,3,Sat,Weekend,20,Jul-20,18,6,Jul 18,200
2020-07-19 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,29,3,Sun,Weekend,20,Jul-20,19,7,Jul 19,201
2020-07-25 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,30,4,Sat,Weekend,20,Jul-20,25,6,Jul 25,207
2020-07-26 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,30,4,Sun,Weekend,20,Jul-20,26,7,Jul 26,208
2020-08-01 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,31,1,Sat,Weekend,20,Aug-20,1,6,Aug 1,214
2020-08-02 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,31,1,Sun,Weekend,20,Aug-20,2,7,Aug 2,215
2020-08-08 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,32,2,Sat,Weekend,20,Aug-20,8,6,Aug 8,221
2020-08-09 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,32,2,Sun,Weekend,20,Aug-20,9,7,Aug 9,222
2020-08-15 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,33,3,Sat,Weekend,20,Aug-20,15,6,Aug 15,228
2020-08-16 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,33,3,Sun,Weekend,20,Aug-20,16,7,Aug 16,229
2020-08-22 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,34,4,Sat,Weekend,20,Aug-20,22,6,Aug 22,235
2020-08-23 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,34,4,Sun,Weekend,20,Aug-20,23,7,Aug 23,236
2020-08-29 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,35,5,Sat,Weekend,20,Aug-20,29,6,Aug 29,242
2020-08-30 00:00:00.000,2020-08-01 00:00:00.000,2020,Q3,2020-Q3,8,Aug,35,5,Sun,Weekend,20,Aug-20,30,7,Aug 30,243
2020-09-05 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,36,1,Sat,Weekend,20,Sep-20,5,6,Sep 5,249
2020-09-06 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,36,1,Sun,Weekend,20,Sep-20,6,7,Sep 6,250
2020-09-12 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,37,2,Sat,Weekend,20,Sep-20,12,6,Sep 12,256
2020-09-13 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,37,2,Sun,Weekend,20,Sep-20,13,7,Sep 13,257
2020-09-19 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,38,3,Sat,Weekend,20,Sep-20,19,6,Sep 19,263
2020-09-20 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,38,3,Sun,Weekend,20,Sep-20,20,7,Sep 20,264
2020-09-26 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,39,4,Sat,Weekend,20,Sep-20,26,6,Sep 26,270
2020-09-27 00:00:00.000,2020-09-01 00:00:00.000,2020,Q3,2020-Q3,9,Sep,39,4,Sun,Weekend,20,Sep-20,27,7,Sep 27,271
2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,1,1,Wed,Weekday,20,Jan-20,1,3,Jan 1,1
2020-01-02 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,1,1,Thu,Weekday,20,Jan-20,2,4,Jan 2,2
2020-01-03 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,1,1,Fri,Weekday,20,Jan-20,3,5,Jan 3,3
2020-01-04 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,1,1,Sat,Weekend,20,Jan-20,4,6,Jan 4,4
2020-01-05 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,1,1,Sun,Weekend,20,Jan-20,5,7,Jan 5,5
2020-01-06 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,2,2,Mon,Weekday,20,Jan-20,6,1,Jan 6,6
2020-01-07 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,2,2,Tue,Weekday,20,Jan-20,7,2,Jan 7,7
2020-01-08 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,2,2,Wed,Weekday,20,Jan-20,8,3,Jan 8,8
2020-01-09 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,2,2,Thu,Weekday,20,Jan-20,9,4,Jan 9,9
2020-01-10 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,2,2,Fri,Weekday,20,Jan-20,10,5,Jan 10,10
2020-01-11 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,2,2,Sat,Weekend,20,Jan-20,11,6,Jan 11,11
2020-01-12 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,2,2,Sun,Weekend,20,Jan-20,12,7,Jan 12,12
2020-01-13 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,3,3,Mon,Weekday,20,Jan-20,13,1,Jan 13,13
2020-01-14 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,3,3,Tue,Weekday,20,Jan-20,14,2,Jan 14,14
2020-01-15 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,3,3,Wed,Weekday,20,Jan-20,15,3,Jan 15,15
2020-01-16 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,3,3,Thu,Weekday,20,Jan-20,16,4,Jan 16,16
2020-01-17 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,3,3,Fri,Weekday,20,Jan-20,17,5,Jan 17,17
2020-01-18 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,3,3,Sat,Weekend,20,Jan-20,18,6,Jan 18,18
2020-01-19 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,3,3,Sun,Weekend,20,Jan-20,19,7,Jan 19,19
2020-01-20 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,4,4,Mon,Weekday,20,Jan-20,20,1,Jan 20,20
2020-01-21 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,4,4,Tue,Weekday,20,Jan-20,21,2,Jan 21,21
2020-01-22 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,4,4,Wed,Weekday,20,Jan-20,22,3,Jan 22,22
2020-01-23 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,4,4,Thu,Weekday,20,Jan-20,23,4,Jan 23,23
2020-01-24 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,4,4,Fri,Weekday,20,Jan-20,24,5,Jan 24,24
2020-01-25 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,4,4,Sat,Weekend,20,Jan-20,25,6,Jan 25,25
2020-01-26 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,4,4,Sun,Weekend,20,Jan-20,26,7,Jan 26,26
2020-01-27 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,5,5,Mon,Weekday,20,Jan-20,27,1,Jan 27,27
2020-01-28 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,5,5,Tue,Weekday,20,Jan-20,28,2,Jan 28,28
2020-01-29 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,5,5,Wed,Weekday,20,Jan-20,29,3,Jan 29,29
2020-01-30 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,5,5,Thu,Weekday,20,Jan-20,30,4,Jan 30,30
2020-01-31 00:00:00.000,2020-01-01 00:00:00.000,2020,Q1,2020-Q1,1,Jan,5,5,Fri,Weekday,20,Jan-20,31,5,Jan 31,31
2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,5,1,Sat,Weekend,20,Feb-20,1,6,Feb 1,32
2020-02-02 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,5,1,Sun,Weekend,20,Feb-20,2,7,Feb 2,33
2020-02-03 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,6,2,Mon,Weekday,20,Feb-20,3,1,Feb 3,34
2020-02-04 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,6,2,Tue,Weekday,20,Feb-20,4,2,Feb 4,35
2020-02-05 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,6,2,Wed,Weekday,20,Feb-20,5,3,Feb 5,36
2020-02-06 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,6,2,Thu,Weekday,20,Feb-20,6,4,Feb 6,37
2020-02-07 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,6,2,Fri,Weekday,20,Feb-20,7,5,Feb 7,38
2020-02-08 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,6,2,Sat,Weekend,20,Feb-20,8,6,Feb 8,39
2020-02-09 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,6,2,Sun,Weekend,20,Feb-20,9,7,Feb 9,40
2020-02-10 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,7,3,Mon,Weekday,20,Feb-20,10,1,Feb 10,41
2020-02-11 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,7,3,Tue,Weekday,20,Feb-20,11,2,Feb 11,42
2020-02-12 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,7,3,Wed,Weekday,20,Feb-20,12,3,Feb 12,43
2020-02-13 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,7,3,Thu,Weekday,20,Feb-20,13,4,Feb 13,44
2020-02-14 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,7,3,Fri,Weekday,20,Feb-20,14,5,Feb 14,45
2020-02-15 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,7,3,Sat,Weekend,20,Feb-20,15,6,Feb 15,46
2020-02-16 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,7,3,Sun,Weekend,20,Feb-20,16,7,Feb 16,47
2020-02-17 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,8,4,Mon,Weekday,20,Feb-20,17,1,Feb 17,48
2020-02-18 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,8,4,Tue,Weekday,20,Feb-20,18,2,Feb 18,49
2020-02-19 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,8,4,Wed,Weekday,20,Feb-20,19,3,Feb 19,50
2020-02-20 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,8,4,Thu,Weekday,20,Feb-20,20,4,Feb 20,51
2020-02-21 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,8,4,Fri,Weekday,20,Feb-20,21,5,Feb 21,52
2020-02-22 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,8,4,Sat,Weekend,20,Feb-20,22,6,Feb 22,53
2020-02-23 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,8,4,Sun,Weekend,20,Feb-20,23,7,Feb 23,54
2020-02-24 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,9,5,Mon,Weekday,20,Feb-20,24,1,Feb 24,55
2020-02-25 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,9,5,Tue,Weekday,20,Feb-20,25,2,Feb 25,56
2020-02-26 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,9,5,Wed,Weekday,20,Feb-20,26,3,Feb 26,57
2020-02-27 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,9,5,Thu,Weekday,20,Feb-20,27,4,Feb 27,58
2020-02-28 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,9,5,Fri,Weekday,20,Feb-20,28,5,Feb 28,59
2020-02-29 00:00:00.000,2020-02-01 00:00:00.000,2020,Q1,2020-Q1,2,Feb,9,5,Sat,Weekend,20,Feb-20,29,6,Feb 29,60
2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,9,1,Sun,Weekend,20,Mar-20,1,7,Mar 1,61
2020-03-02 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,10,2,Mon,Weekday,20,Mar-20,2,1,Mar 2,62
2020-03-03 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,10,2,Tue,Weekday,20,Mar-20,3,2,Mar 3,63
2020-03-04 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,10,2,Wed,Weekday,20,Mar-20,4,3,Mar 4,64
2020-03-05 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,10,2,Thu,Weekday,20,Mar-20,5,4,Mar 5,65
2020-03-06 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,10,2,Fri,Weekday,20,Mar-20,6,5,Mar 6,66
2020-03-07 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,10,2,Sat,Weekend,20,Mar-20,7,6,Mar 7,67
2020-03-08 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,10,2,Sun,Weekend,20,Mar-20,8,7,Mar 8,68
2020-03-09 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,11,3,Mon,Weekday,20,Mar-20,9,1,Mar 9,69
2020-03-10 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,11,3,Tue,Weekday,20,Mar-20,10,2,Mar 10,70
2020-03-11 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,11,3,Wed,Weekday,20,Mar-20,11,3,Mar 11,71
2020-03-12 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,11,3,Thu,Weekday,20,Mar-20,12,4,Mar 12,72
2020-03-13 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,11,3,Fri,Weekday,20,Mar-20,13,5,Mar 13,73
2020-03-14 00:00:00.000,2020-03-01 00:00:00.000,2020,Q1,2020-Q1,3,Mar,11,3,Sat,Weekend,20,Mar-20,14,6,Mar 14,74
